Name	Description	Points	Ingredient	Rune	Ingredient	Rune	Ingredient	Rune	Ingredient	Rune	Ingredient	Rune
Stiff Potion	Makes you stiff as a rock. Like you woke up on the wrong side of the bed.	30	HORN	Neutral	TURTLE SCUTE	Powder	FANG	Powder				
Foghorn potion	Drink this and your bellow will be heard from the town over. May i recommend a lozenge too?	20	GOAT EYE	Neutral	TURTLE SCUTE	Powder						
Sage potion	Gives one incredible calm and clarity, followed by crushing regret. Oddly enough only for men	30	HORN	Powder	RASPBERRY LEAF	Gooey	RASPBERRY LEAF	Gooey				
Mitochondria	Makes one incredibly active and full of energy. Something about becoming a powerhouse	30	TURTLE SCUTE	Neutral	FANG	Powder	WORM	Gooey				
Hihihomori	Makes sunlight incredibly irritating to ones skin. But gives you razor sharp teeth.	50	FANG	Powder	FANG	Powder	FANG	Powder	FANG	Powder	GOAT EYE	Gooey
Animal tongue	Allows you to speak with animals in complete gibberish.	50	FANG	Powder	HORN	Powder	FISH SCALE	Powder	WORM	Gooey	FROG EYES	Neutral
Meaty	Makes vegetables taste like steak. A guilty pleasure.	40	FANG	Powder	GOAT EYE	Neutral	RASPBERRY LEAF	Gooey	TURTLE SCUTE	Powder		
Taming	Feed this to a wild animal and it shall become your friend. Maybe	40	HORN	Powder	FISH SCALE	Powder	GOAT EYE	Gooey	RASPBERRY LEAF	Gooey		
G.O.A.T	Makes you feel like you can do anything. But you get visions and cravings for cranberry juice.	30	GOAT EYE	Gooey	RASPBERRY LEAF	Gooey	HORN	Powder				
Wall climbing	You can climb up steep cliffs. But only parallel to the face of the wall.	30	FROG EYES	Neutral	GOAT EYE	Neutral	TURTLE SCUTE	Powder				
Wide vision	Widens your view. Great for sheperds. Not for racists	30	GOAT EYE	Neutral	GOAT EYE	Neutral	TURTLE SCUTE	Powder				
All-Seeing	Eyes that see everything. No more blind spots. Experience having 8 eyes. Better than Gojo.	40	GOAT EYE	Gooey	GOAT EYE	Neutral	FROG EYES	Neutral	FROG EYES	Neutral		
Healing potion	A potion beloved by all. Closes wounds and staunches bleeding. Though the after-effects are not as well-liked.	50	STONE FISH	Gooey	WORM	Gooey	ALGAE FISH	Gooey	BEANS	Gooey	POISON IVY	Gooey
Perfume	A must have for the local ladies. And the occasional unhygienic fellow.	30	RASPBERRY LEAF	Neutral	RASPBERRY LEAF	Neutral	RASPBERRY LEAF	Neutral				
Dry potion	Keeps one dry even if you jump into a pond. Water will slide right off you. But not your clothes.	30	ALGAE FISH	Powder	TURTLE SCUTE	Powder	RASPBERRY LEAF	Gooey				
Anti-toxin	Causes your body to expel all sorts of toxins.	30	BEANS	Gooey	BEANS	Gooey	POISON IVY	Gooey				
Love potion	Emit pheromones that make you irresistable to every living thing	40	FANG	Powder	RASPBERRY LEAF	Gooey	POISON IVY	Gooey	GOAT EYE	Gooey		
High Jump	Allows one who drinks this concotion to jump very high only once. 	40	FROG EYES	Neutral	TURTLE SCUTE	Powder	RASPBERRY LEAF	Powder	STONE FISH	Gooey		
Future sight	Allows one to see a single moment in that will occur in the future.	50	GOAT EYE	Gooey	GOAT EYE	Gooey	HORN	Powder	FISH SCALE	Powder	TURTLE SCUTE	Powder
