Stiff Potion,Makes you stiff as a rock. Like you woke up on the wrong side of the bed.,50,Horn,HORN,Neutral,TURTLE SCUTE,Powder,STONE FISH,Gooey,,,,
Foghorn potion,Drink this and your bellow will be heard from the town over. May i recommend a lozenge too?,40,Horn,HORN,Neutral,GOAT EYE,Neutral,BEANS,Powder,,,,
Sage potion,"Gives one incredible calm and clarity, followed by crushing regret. Oddly enough only for men",10,Horn,HORN,Neutral,RASPBERRY LEAF,Gooey,RASPBERRY LEAF,Gooey,,,,
MItochondria,Makes one incredibly active and full of energy. Something about becoming a powerhouse,,Horn,HORN,Neutral,TURTLE SCUTE,Powder,WORM,Gooey,,,,
Sunblock,Makes sunlight incredibly irritating to ones skin. But with gives you razor sharp teeth.,50,Fang,FANG,Neutral,FANG,Neutral,FANG,Neutral,FANG,Neutral,,
Animal tongue,Allows you to speak with animals in complete gibberish.,40,Fang,FANG,Neutral,HORN,Neutral,FISH SCALE,Neutral,WORM,Neutral,FROG EYES,Neutral
Meaty,Makes vegetables taste like steak. A guilty pleasure.,10,Fang,FANG,Neutral,RASPBERRY LEAF,Neutral,POISON IVY,Neutral,ALGAE FISH,Neutral,,
Taming,Feed this to a wild animal and it shall become your friend. Maybe,,Fang,FANG,Neutral,FROG EYES,Neutral,WORM,Neutral,RASPBERRY LEAF,,,
G.O.A.T,Makes you feel like you can do anything. But you get visions and cravings for cranberry juice.,,Goat Eyes,GOAT EYE,Neutral,BEANS,Neutral,RASPBERRY LEAF,Neutral,,,,
Wall climbing,You can climb up steep cliffs. But only parallel to the face of the wall.,,Goat Eyes,GOAT EYE,Neutral,FISH SCALE,Neutral,WORM,Neutral,,,,
Wide vision,Widens your view. Great for sheperds. Not for racists,,Goat Eyes,GOAT EYE,Neutral,GOAT EYE,Neutral,HORN,Neutral,,,,
All-Seeing,Eyes that see everything. No more blind spots. Experience having 8 eyes. Better than Gojo.,80,Goat Eyes,GOAT EYE,Neutral,GOAT EYE,Neutral,FROG EYES,Neutral,FROG EYES,Neutral,,
